case_submitter_id,project_id,rank,gene,mutation_count
TCGA-37-3789,TCGA-LUSC,42,OR2T6,1
TCGA-37-3789,TCGA-LUSC,43,SLC66A3,1
TCGA-37-3789,TCGA-LUSC,44,APOB,1
TCGA-37-3789,TCGA-LUSC,45,OTOF,1
TCGA-37-3789,TCGA-LUSC,46,ALMS1P1,1
TCGA-37-3789,TCGA-LUSC,47,INPP4A,1
TCGA-37-3789,TCGA-LUSC,48,AFF3,1
TCGA-37-3789,TCGA-LUSC,49,ST6GAL2,1
TCGA-37-3789,TCGA-LUSC,50,THSD7B,1
TCGA-44-2661,TCGA-LUAD,1,DST,3
TCGA-44-2661,TCGA-LUAD,2,ASAH2,3
TCGA-44-2661,TCGA-LUAD,3,TAS1R2,2
TCGA-44-2661,TCGA-LUAD,4,RAP1GAP,2
TCGA-44-2661,TCGA-LUAD,5,ADGRB2,2
TCGA-44-2661,TCGA-LUAD,6,COL24A1,2
TCGA-44-2661,TCGA-LUAD,7,STRIP1,2
TCGA-44-2661,TCGA-LUAD,8,LCE2B,2
TCGA-44-2661,TCGA-LUAD,9,REN,2
TCGA-44-2661,TCGA-LUAD,10,RYR2,2
TCGA-44-2661,TCGA-LUAD,11,MSGN1,2
TCGA-44-2661,TCGA-LUAD,12,BIRC6,2
TCGA-44-2661,TCGA-LUAD,13,LRP1B,2
TCGA-44-2661,TCGA-LUAD,14,ARHGAP15,2
TCGA-44-2661,TCGA-LUAD,15,SCN7A,2
TCGA-44-2661,TCGA-LUAD,16,TTN,2
TCGA-44-2661,TCGA-LUAD,17,UGT2B11,2
TCGA-44-2661,TCGA-LUAD,18,PRDM9,2
TCGA-44-2661,TCGA-LUAD,19,TNXB,2
TCGA-44-2661,TCGA-LUAD,20,KIFC1,2
TCGA-44-2661,TCGA-LUAD,21,COL12A1,2
TCGA-44-2661,TCGA-LUAD,22,SYNE1,2
TCGA-44-2661,TCGA-LUAD,23,SERPINE1,2
TCGA-44-2661,TCGA-LUAD,24,PTPRZ1,2
TCGA-44-2661,TCGA-LUAD,25,CHRM2,2
TCGA-44-2661,TCGA-LUAD,26,CHD7,2
TCGA-44-2661,TCGA-LUAD,27,CSMD3,2
TCGA-44-2661,TCGA-LUAD,28,TG,2
TCGA-44-2661,TCGA-LUAD,29,CALCA,2
TCGA-44-2661,TCGA-LUAD,30,MAP3K11,2
TCGA-44-2661,TCGA-LUAD,31,ABCG4,2
TCGA-44-2661,TCGA-LUAD,32,WNT10B,2
TCGA-44-2661,TCGA-LUAD,33,CREBBP,2
TCGA-44-2661,TCGA-LUAD,34,MYH4,2
TCGA-44-2661,TCGA-LUAD,35,SMAD4,2
TCGA-44-2661,TCGA-LUAD,36,TCF4,2
TCGA-44-2661,TCGA-LUAD,37,FGF21,2
TCGA-44-2661,TCGA-LUAD,38,SIGLEC12,2
TCGA-44-2661,TCGA-LUAD,39,SIGLEC14,2
TCGA-44-2661,TCGA-LUAD,40,CACNA1I,2
TCGA-44-2661,TCGA-LUAD,41,COL4A5,2
TCGA-44-2661,TCGA-LUAD,42,LHFPL1,2
TCGA-44-2661,TCGA-LUAD,43,GABRD,1
TCGA-44-2661,TCGA-LUAD,44,PRDM16,1
TCGA-44-2661,TCGA-LUAD,45,MEGF6,1
TCGA-44-2661,TCGA-LUAD,46,GPR153,1
TCGA-44-2661,TCGA-LUAD,47,PER3,1
TCGA-44-2661,TCGA-LUAD,48,DISP3,1
TCGA-44-2661,TCGA-LUAD,49,VPS13D,1
TCGA-44-2661,TCGA-LUAD,50,PRDM2,1
TCGA-44-3917,TCGA-LUAD,1,TTN,3
TCGA-44-3917,TCGA-LUAD,2,CSMD3,3
TCGA-44-3917,TCGA-LUAD,3,SMYD1,3
TCGA-44-3917,TCGA-LUAD,4,CMYA5,3
TCGA-44-3917,TCGA-LUAD,5,FUBP3,3
TCGA-44-3917,TCGA-LUAD,6,MUC16,3
TCGA-44-3917,TCGA-LUAD,7,COL11A1,2
TCGA-44-3917,TCGA-LUAD,8,CACNA1E,2
TCGA-44-3917,TCGA-LUAD,9,USH2A,2
TCGA-44-3917,TCGA-LUAD,10,ST6GAL2,2
TCGA-44-3917,TCGA-LUAD,11,CPA4,2
TCGA-44-3917,TCGA-LUAD,12,PRKDC,2
TCGA-44-3917,TCGA-LUAD,13,RGS22,2
TCGA-44-3917,TCGA-LUAD,14,NELL1,2
TCGA-44-3917,TCGA-LUAD,15,UBE4A,2
TCGA-44-3917,TCGA-LUAD,16,KIF5A,2
TCGA-44-3917,TCGA-LUAD,17,NAV3,2
TCGA-44-3917,TCGA-LUAD,18,CORO1C,2
TCGA-44-3917,TCGA-LUAD,19,KLHL1,2
TCGA-44-3917,TCGA-LUAD,20,KCNK13,2
TCGA-44-3917,TCGA-LUAD,21,AHNAK2,2
TCGA-44-3917,TCGA-LUAD,22,TP53,2
TCGA-44-3917,TCGA-LUAD,23,GATAD2A,2
TCGA-44-3917,TCGA-LUAD,24,HSPG2,2
TCGA-44-3917,TCGA-LUAD,25,NCKAP5,2
TCGA-44-3917,TCGA-LUAD,26,DNAH5,2
TCGA-44-3917,TCGA-LUAD,27,ADGRV1,2
TCGA-44-3917,TCGA-LUAD,28,PCDHA1,2
TCGA-44-3917,TCGA-LUAD,29,EGFR,2
TCGA-44-3917,TCGA-LUAD,30,ZFHX4,2
TCGA-44-3917,TCGA-LUAD,31,OR8U1,2
TCGA-44-3917,TCGA-LUAD,32,IGHMBP2,2
TCGA-44-3917,TCGA-LUAD,33,TMEM117,2
TCGA-44-3917,TCGA-LUAD,34,CDH8,2
TCGA-44-3917,TCGA-LUAD,35,ZFP90,2
TCGA-44-3917,TCGA-LUAD,36,PIEZO2,2
TCGA-44-3917,TCGA-LUAD,37,RIT2,2
TCGA-44-3917,TCGA-LUAD,38,NOVA2,2
TCGA-44-3917,TCGA-LUAD,39,ZSCAN1,2
TCGA-44-3917,TCGA-LUAD,40,DIDO1,2
TCGA-44-3917,TCGA-LUAD,41,USP48,1
TCGA-44-3917,TCGA-LUAD,42,P3H1,1
TCGA-44-3917,TCGA-LUAD,43,TUT4,1
TCGA-44-3917,TCGA-LUAD,44,C1orf141,1
TCGA-44-3917,TCGA-LUAD,45,FPGT,1
TCGA-44-3917,TCGA-LUAD,46,CLCA3P,1
TCGA-44-3917,TCGA-LUAD,47,ZNF326,1
TCGA-44-3917,TCGA-LUAD,48,SPAG17,1
TCGA-44-3917,TCGA-LUAD,49,TARS2,1
TCGA-44-3917,TCGA-LUAD,50,PI4KB,1
TCGA-55-7815,TCGA-LUAD,1,PTPRU,2
TCGA-55-7815,TCGA-LUAD,2,FMO3,2
TCGA-55-7815,TCGA-LUAD,3,EHBP1,2
TCGA-55-7815,TCGA-LUAD,4,ZPLD1,2
TCGA-55-7815,TCGA-LUAD,5,PIK3CA,2
TCGA-55-7815,TCGA-LUAD,6,ABCF2,2
TCGA-55-7815,TCGA-LUAD,7,CYP7A1,2
TCGA-55-7815,TCGA-LUAD,8,FBXO43,2
TCGA-55-7815,TCGA-LUAD,9,CYC1,2
TCGA-55-7815,TCGA-LUAD,10,PCF11,2
TCGA-55-7815,TCGA-LUAD,11,TMEM132B,2
TCGA-55-7815,TCGA-LUAD,12,SYNE2,2
TCGA-55-7815,TCGA-LUAD,13,PEAK1,2
TCGA-55-7815,TCGA-LUAD,14,OR3A4P,2
TCGA-55-7815,TCGA-LUAD,15,KEAP1,2
TCGA-55-7815,TCGA-LUAD,16,TSSK6,2
TCGA-55-7815,TCGA-LUAD,17,GRAMD1A,2
TCGA-55-7815,TCGA-LUAD,18,DUXA,2
TCGA-55-7815,TCGA-LUAD,19,NCOA6,2
TCGA-55-7815,TCGA-LUAD,20,ATAD3B,1
TCGA-55-7815,TCGA-LUAD,21,UBR4,1
TCGA-55-7815,TCGA-LUAD,22,HTR6,1
TCGA-55-7815,TCGA-LUAD,23,ALPL,1
TCGA-55-7815,TCGA-LUAD,24,EXTL1,1
TCGA-55-7815,TCGA-LUAD,25,CSMD2,1
TCGA-55-7815,TCGA-LUAD,26,CSF3R,1
TCGA-55-7815,TCGA-LUAD,27,TUT4,1
TCGA-55-7815,TCGA-LUAD,28,ACOT11,1
TCGA-55-7815,TCGA-LUAD,29,HFM1,1
TCGA-55-7815,TCGA-LUAD,30,LRIG2,1
TCGA-55-7815,TCGA-LUAD,31,WARS2,1
TCGA-55-7815,TCGA-LUAD,32,HSD3B1,1
TCGA-55-7815,TCGA-LUAD,33,ANKRD34A,1
TCGA-55-7815,TCGA-LUAD,34,SLC27A3,1
TCGA-55-7815,TCGA-LUAD,35,PEAR1,1
TCGA-55-7815,TCGA-LUAD,36,GPR161,1
TCGA-55-7815,TCGA-LUAD,37,C1orf112,1
TCGA-55-7815,TCGA-LUAD,38,KIF21B,1
TCGA-55-7815,TCGA-LUAD,39,LMOD1,1
TCGA-55-7815,TCGA-LUAD,40,CR2,1
TCGA-55-7815,TCGA-LUAD,41,MIR205,1
TCGA-55-7815,TCGA-LUAD,42,RPS6KC1,1
TCGA-55-7815,TCGA-LUAD,43,PROX1,1
TCGA-55-7815,TCGA-LUAD,44,OBSCN,1
TCGA-55-7815,TCGA-LUAD,45,TARBP1,1
TCGA-55-7815,TCGA-LUAD,46,OR2AK2,1
TCGA-55-7815,TCGA-LUAD,47,NCOA1,1
TCGA-55-7815,TCGA-LUAD,48,AGBL5,1
TCGA-55-7815,TCGA-LUAD,49,CAPG,1
TCGA-55-7815,TCGA-LUAD,50,CCDC93,1
TCGA-55-7907,TCGA-LUAD,1,TTN,11
TCGA-55-7907,TCGA-LUAD,2,USH2A,5
TCGA-55-7907,TCGA-LUAD,3,LRP1B,3
TCGA-55-7907,TCGA-LUAD,4,NGEF,3
TCGA-55-7907,TCGA-LUAD,5,CLRN2,3
TCGA-55-7907,TCGA-LUAD,6,FSTL5,3
TCGA-55-7907,TCGA-LUAD,7,DNAH8,3
TCGA-55-7907,TCGA-LUAD,8,RP1L1,3
TCGA-55-7907,TCGA-LUAD,9,SNTG1,3
TCGA-55-7907,TCGA-LUAD,10,PXDNL,3
TCGA-55-7907,TCGA-LUAD,11,CSMD3,3
TCGA-55-7907,TCGA-LUAD,12,SLCO1B1,3
TCGA-55-7907,TCGA-LUAD,13,SLITRK1,3
TCGA-55-7907,TCGA-LUAD,14,ACIN1,3
TCGA-55-7907,TCGA-LUAD,15,MUC16,3
TCGA-55-7907,TCGA-LUAD,16,EPHA8,2
TCGA-55-7907,TCGA-LUAD,17,SMAP2,2
TCGA-55-7907,TCGA-LUAD,18,FAF1,2
TCGA-55-7907,TCGA-LUAD,19,SPTA1,2
TCGA-55-7907,TCGA-LUAD,20,ASTN1,2
TCGA-55-7907,TCGA-LUAD,21,NFASC,2
TCGA-55-7907,TCGA-LUAD,22,NRXN1,2
TCGA-55-7907,TCGA-LUAD,23,DYSF,2
TCGA-55-7907,TCGA-LUAD,24,NEB,2
TCGA-55-7907,TCGA-LUAD,25,ERBB4,2
TCGA-55-7907,TCGA-LUAD,26,CHRND,2
TCGA-55-7907,TCGA-LUAD,27,UGT1A8,2
TCGA-55-7907,TCGA-LUAD,28,THAP4,2
TCGA-55-7907,TCGA-LUAD,29,PTPRG,2
TCGA-55-7907,TCGA-LUAD,30,ALDH1L1,2
TCGA-55-7907,TCGA-LUAD,31,COL6A6,2
TCGA-55-7907,TCGA-LUAD,32,CLSTN2,2
TCGA-55-7907,TCGA-LUAD,33,NLGN1,2
TCGA-55-7907,TCGA-LUAD,34,GABRA4,2
TCGA-55-7907,TCGA-LUAD,35,GRID2,2
TCGA-55-7907,TCGA-LUAD,36,SMARCAD1,2
TCGA-55-7907,TCGA-LUAD,37,NDST4,2
TCGA-55-7907,TCGA-LUAD,38,FAT4,2
TCGA-55-7907,TCGA-LUAD,39,PCDHA3,2
TCGA-55-7907,TCGA-LUAD,40,PCDHA9,2
TCGA-55-7907,TCGA-LUAD,41,IRF4,2
TCGA-55-7907,TCGA-LUAD,42,NOTCH4,2
TCGA-55-7907,TCGA-LUAD,43,PGC,2
TCGA-55-7907,TCGA-LUAD,44,UBR2,2
TCGA-55-7907,TCGA-LUAD,45,PGK2,2
TCGA-55-7907,TCGA-LUAD,46,THEMIS,2
TCGA-55-7907,TCGA-LUAD,47,LAMA2,2
TCGA-55-7907,TCGA-LUAD,48,ZDHHC14,2
TCGA-55-7907,TCGA-LUAD,49,HECW1,2
TCGA-55-7907,TCGA-LUAD,50,ZNF804B,2
TCGA-56-5898,TCGA-LUSC,1,TTN,4
TCGA-56-5898,TCGA-LUSC,2,RSPO2,3
TCGA-56-5898,TCGA-LUSC,3,PCDH15,3
TCGA-56-5898,TCGA-LUSC,4,FRY,3
TCGA-56-5898,TCGA-LUSC,5,PCDH11X,3
TCGA-56-5898,TCGA-LUSC,6,SPAG17,2
TCGA-56-5898,TCGA-LUSC,7,RYR2,2
TCGA-56-5898,TCGA-LUSC,8,PLD5,2
TCGA-56-5898,TCGA-LUSC,9,BCL11A,2
TCGA-56-5898,TCGA-LUSC,10,LRP1B,2
TCGA-56-5898,TCGA-LUSC,11,SPHKAP,2
TCGA-56-5898,TCGA-LUSC,12,CDH9,2
TCGA-56-5898,TCGA-LUSC,13,TBC1D7,2
TCGA-56-5898,TCGA-LUSC,14,DNAH8,2
TCGA-56-5898,TCGA-LUSC,15,TFAP2D,2
